
===== spell_payoffs (49) =====
Black Waltz No. 3 | {2}{B}{R} | Legendary Creature — Wizard | incl=90.5(n=6318) | Flying, deathtouch Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.
Darksteel Citadel |  | Artifact Land | incl=- | Indestructible {T}: Add {C}.
Deserted Temple |  | Land | incl=- | {T}: Add {C}. {1}, {T}: Untap target land.
Dowsing Device // Geode Grotto | {1}{R} | Artifact // Land — Cave | incl=- | Whenever this artifact or another artifact you control enters, up to one target creature you control gets +1/+0 and gains haste until end of turn. Then transform this artifact if y
Drannith Ruins |  | Land | incl=- | {T}: Add {C}. {2}, {T}: Put two +1/+1 counters on target non-Human creature that entered this turn.
Eclipsed Realms |  | Land | incl=- | As this land enters, choose Elemental, Elf, Faerie, Giant, Goblin, Kithkin, Merfolk, or Treefolk. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a spell
Eden, Seat of the Sanctum |  | Land — Town | incl=- | {T}: Add {C}. {5}, {T}: Mill two cards. Then you may sacrifice this land. When you do, return another target permanent card from your graveyard to your hand.
Edgewall Inn |  | Land | incl=- | This land enters tapped. As this land enters, choose a color. {T}: Add one mana of the chosen color. {3}, {T}, Sacrifice this land: Return target card that has an Adventure from yo
Escape Tunnel |  | Land | incl=- | {T}, Sacrifice this land: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle. {T}, Sacrifice this land: Target creature with power 2 or les
Flooded Strand |  | Land | incl=- | {T}, Pay 1 life, Sacrifice this land: Search your library for a Plains or Island card, put it onto the battlefield, then shuffle.
Fomori Vault |  | Land | incl=- | {T}: Add {C}. {3}, {T}, Discard a card: Look at the top X cards of your library, where X is the number of artifacts you control. Put one of those cards into your hand and the rest 
Forgotten Monument |  | Land — Cave | incl=- | {T}: Add {C}. Other Caves you control have "{T}, Pay 1 life: Add one mana of any color."
Foul Roads |  | Land | incl=- | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {B}. {1}{B}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles 
Gate of the Black Dragon |  | Land — Swamp Gate | incl=- | ({T}: Add {B}.) Gate of the Black Dragon enters the battlefield tapped. {3}{B}, {T}: Seek a nonland card. Activate only once.
Gate to Tumbledown |  | Land — Mountain Gate | incl=- | ({T}: Add {R}.) Gate to Tumbledown enters the battlefield tapped. {3}{R}, {T}: Seek a nonland card. Activate only once.
Gateway Plaza |  | Land — Gate | incl=- | This land enters tapped. When this land enters, sacrifice it unless you pay {1}. {T}: Add one mana of any color.
Gemstone Caverns |  | Legendary Land | incl=- | If this card is in your opening hand and you're not the starting player, you may begin the game with Gemstone Caverns on the battlefield with a luck counter on it. If you do, exile
Grasping Shadows // Shadows' Lair | {3}{B} | Enchantment // Land — Cave | incl=- | Whenever a creature you control attacks alone, it gains deathtouch and lifelink until end of turn. Put a dread counter on this enchantment. Then if there are three or more dread co
Great Hall of the Biblioplex |  | Land | incl=- | {T}: Add {C}. {T}, Pay 1 life: Add one mana of any color. Spend this mana only to cast an instant or sorcery spell. {5}: If this land isn't a creature, it becomes a 2/4 Wizard crea
Hidden Volcano |  | Land — Cave | incl=- | This land enters tapped. {T}: Add {R}. {4}{R}, {T}, Sacrifice this land: Discover 4. Activate only as a sorcery. (Exile cards from the top of your library until you exile a nonland
Jagged Barrens |  | Land — Desert | incl=- | This land enters tapped. When this land enters, it deals 1 damage to target opponent. {T}: Add {B} or {R}.
Jasmine Dragon Tea Shop |  | Land | incl=- | {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast an Ally spell or activate an ability of an Ally source. {5}, {T}: Create a 1/1 white Ally creature token.
Maze's End |  | Land | incl=- | This land enters tapped. {T}: Add {C}. {3}, {T}, Return this land to its owner's hand: Search your library for a Gate card, put it onto the battlefield, then shuffle. If you contro
Misty Rainforest |  | Land | incl=- | {T}, Pay 1 life, Sacrifice this land: Search your library for a Forest or Island card, put it onto the battlefield, then shuffle.
Multiversal Passage |  | Land | incl=- | As this land enters, choose a basic land type. Then you may pay 2 life. If you don't, it enters tapped. This land is the chosen type.
Nesting Grounds |  | Land | incl=- | {T}: Add {C}. {1}, {T}: Move a counter from target permanent you control onto a second target permanent. Activate only as a sorcery.
Night Market |  | Land | incl=- | This land enters tapped. As it enters, choose a color. {T}: Add one mana of the chosen color. Cycling {3} ({3}, Discard this card: Draw a card.)
Northampton Farm |  | Land | incl=- | {T}: Add {C}. {1}, {T}: Exile target creature you own. {2}, {T}, Sacrifice this land: Return a creature card exiled with this land to the battlefield under your control. Return eac
Ominous Asylum |  | Land | incl=- | This land enters tapped. {T}: Add {B} or {R}. {4}, {T}: Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Petrified Hamlet |  | Land | incl=- | When this land enters, choose a land card name. Activated abilities of sources with the chosen name can't be activated unless they're mana abilities. Lands with the chosen name hav
Plaza of Harmony |  | Land | incl=- | When this land enters, if you control two or more Gates, you gain 3 life. {T}: Add {C}. {T}: Add one mana of any type that a Gate you control could produce.
Razortrap Gorge |  | Land | incl=- | This land enters tapped unless a player has 13 or less life. {T}: Add {B} or {R}.
Realm of Koh |  | Land | incl=- | This land enters tapped unless you control a basic land. {T}: Add {B}. {3}{B}, {T}: Create a 1/1 colorless Spirit creature token with "This token can't block or be blocked by non-S
Roadside Reliquary |  | Land | incl=- | {T}: Add {C}. {2}, {T}, Sacrifice this land: Draw a card if you control an artifact. Draw a card if you control an enchantment.
Rocky Roads |  | Land | incl=- | This land enters tapped unless you control a Mount or Vehicle. {T}: Add {R}. {1}{R}, {T}, Sacrifice this land: Create a 1/1 colorless Pilot creature token with "This token saddles 
Rumble Arena |  | Land | incl=- | Vigilance When this land enters, scry 1. (Look at the top card of your library. You may put it on the bottom.) {T}: Add {C}. {1}, {T}: Add one mana of any color.
Secluded Courtyard |  | Land | incl=- | As this land enters, choose a creature type. {T}: Add {C}. {T}: Add one mana of any color. Spend this mana only to cast a creature spell of the chosen type or activate an ability o
Secluded Starforge |  | Land | incl=- | {T}: Add {C}. {2}, {T}, Tap X untapped artifacts you control: Target creature gets +X/+0 until end of turn. Activate only as a sorcery. {5}, {T}: Create a 2/2 colorless Robot artif
Secret Tunnel |  | Land — Cave | incl=- | This land can't be blocked. {T}: Add {C}. {4}, {T}: Two target creatures you control that share a creature type can't be blocked this turn.
Shatterskull Smashing // Shatterskull, the Hammer Pass | {X}{R}{R} | Sorcery // Land | incl=- | Shatterskull Smashing deals X damage divided as you choose among up to two target creatures and/or planeswalkers. If X is 6 or more, Shatterskull Smashing deals twice X damage divi
Skycoach Waypoint |  | Land | incl=- | {T}: Add {C}. {3}, {T}: Target creature becomes prepared. (Only creatures with prepare spells can become prepared.)
Snow-Covered Mountain |  | Basic Snow Land — Mountain | incl=- | ({T}: Add {R}.)
Snow-Covered Swamp |  | Basic Snow Land — Swamp | incl=- | ({T}: Add {B}.)
Sokenzan, Crucible of Defiance |  | Legendary Land | incl=- | {T}: Add {R}. Channel — {3}{R}, Discard this card: Create two 1/1 colorless Spirit creature tokens. They gain haste until end of turn. This ability costs {1} less to activate for e
Soulstone Sanctuary |  | Land | incl=- | {T}: Add {C}. {4}: This land becomes a 3/3 creature with vigilance and all creature types. It's still a land.
Starting Town |  | Land — Town | incl=- | This land enters tapped unless it's your first, second, or third turn of the game. {T}: Add {C}. {T}, Pay 1 life: Add one mana of any color.
Sulfurous Mire |  | Snow Land — Swamp Mountain | incl=- | ({T}: Add {B} or {R}.) This land enters tapped.
Surveillance Room |  | Land | incl=- | When this land enters, surveil 1. (Look at the top card of your library. You may put it into your graveyard.) {T}: Add {C}. {1}, {T}: Add one mana of any color.
Susur Secundi, Void Altar |  | Land — Planet | incl=- | This land enters tapped. {T}: Add {B}. Station (Tap another creature you control: Put charge counters equal to its power on this Planet. Station only as a sorcery.) 12+ | {1}{B}, {
Takenuma, Abandoned Mire |  | Legendary Land | incl=- | {T}: Add {B}. Channel — {3}{B}, Discard this card: Mill three cards, then return a creature or planeswalker card from your graveyard to your hand. This ability costs {1} less to ac
Terrain Generator |  | Land | incl=- | {T}: Add {C}. {2}, {T}: You may put a basic land card from your hand onto the battlefield tapped.
Thespian's Stage |  | Land | incl=- | {T}: Add {C}. {2}, {T}: This land becomes a copy of target land, except it has this ability.
