brawl sample (training cohort): 1166 decks, 1166 resolved, 7 unresolved card rows, 200 distinct commanders

## aggro (n=4 of 5 with every essential present) — deployable pressure with reach and reload
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 58 | 60 | 62 | 62 | 66 | - |
| converters | 2.0 | 6.0 | 8.0 | 16.0 | 22.0 | 4/19 (cmd) |
| producers | 2.0 | 7.0 | 11.0 | 21.0 | 24.0 | 9/18 (cmd) |
| output | 3.0 | 4.0 | 7.0 | 9.0 | 10.0 | 4/11 (cmd) |
| value | 1.0 | 2.0 | 2.0 | 3.0 | 5.0 | 0/8 (60-card) |
| answers | 1.0 | 2.0 | 3.0 | 4.0 | 5.0 | 0/5 (60-card) |
| fixing | 2.0 | 3.0 | 4.0 | 6.0 | 10.0 | 0/8 (60-card) |

## tokens (n=18 of 19 with every essential present) — a wide board of creature tokens, converted by anthems or an outlet
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 60 | 60 | 63 | 65 | 67 | - |
| payoff | 3.0 | 4.0 | 7.0 | 10.0 | 11.0 | 6/19 (cmd) |
| makers | 3.0 | 4.0 | 6.0 | 6.0 | 8.0 | 5/13 (cmd) |
| value | 4.0 | 6.0 | 9.0 | 13.0 | 14.0 | 8/18 (cmd) |
| answers | 0.0 | 0.0 | 2.0 | 4.0 | 4.0 | 0/5 (60-card) |
| fixing | 1.0 | 2.0 | 4.0 | 8.0 | 12.0 | 0/8 (60-card) |

## counters (n=36 of 46 with every essential present) — +1/+1 counters placed on bodies that read them
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 59 | 60 | 60 | 62 | 65 | - |
| payoff | 2.0 | 2.0 | 4.0 | 8.0 | 10.0 | 3/8 (cmd) |
| sources | 6.0 | 6.0 | 12.0 | 15.0 | 17.0 | 6/16 (cmd) |
| carriers | 4.0 | 5.0 | 6.0 | 9.0 | 14.0 | 3/11 (cmd) |
| value | 2.0 | 2.0 | 3.0 | 4.0 | 6.0 | 0/8 (60-card) |
| answers | 0.0 | 1.0 | 3.0 | 4.0 | 6.0 | 0/5 (60-card) |
| fixing | 2.0 | 5.0 | 6.0 | 10.0 | 12.0 | 0/8 (60-card) |
