commander sample (training cohort): 1824 decks, 1824 resolved, 4 unresolved card rows, 196 distinct commanders

## aggro (n=5 of 5 with every essential present) — deployable pressure with reach and reload
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
| (nonland copies) | 61 | 62 | 63 | 65 | 66 | - |
| recursion | 1.0 | 2.0 | 4.0 | 6.0 | 8.0 | 2/7 |
| fuel | 1.0 | 2.0 | 6.0 | 11.0 | 13.0 | 2/12 |
| targets | 4.0 | 5.0 | 8.0 | 11.0 | 14.0 | 5/14 |
| value | 2.0 | 4.0 | 6.0 | 7.0 | 9.0 | 0/8 (60-card) |
| answers | 1.0 | 2.0 | 4.0 | 6.0 | 8.0 | 0/5 (60-card) |
| fixing | 4.0 | 5.0 | 8.0 | 11.0 | 14.0 | 0/8 (60-card) |

## conversion (n=25 of 25 with every essential present) — Food/Treasure/Clue produced, then spent on bodies, life or cards
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 60 | 63 | 64 | 66 | 67 | - |
| converters | 3.0 | 8.0 | 13.0 | 17.0 | 20.0 | 4/19 |
| producers | 3.0 | 9.0 | 14.0 | 20.0 | 26.0 | 9/18 |
| output | 3.0 | 5.0 | 7.0 | 10.0 | 10.0 | 4/11 |
| value | 0.0 | 2.0 | 4.0 | 5.0 | 7.0 | 0/8 (60-card) |
| answers | 0.0 | 2.0 | 4.0 | 5.0 | 7.0 | 0/5 (60-card) |
| fixing | 2.0 | 3.0 | 5.0 | 7.0 | 9.0 | 0/8 (60-card) |

## tokens (n=72 of 73 with every essential present) — a wide board of creature tokens, converted by anthems or an outlet
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 62 | 63 | 64 | 65 | 67 | - |
| payoff | 4.0 | 5.5 | 11.0 | 16.0 | 20.0 | 6/19 |
| makers | 4.0 | 6.0 | 9.0 | 11.0 | 15.0 | 5/13 |
| value | 7.0 | 10.0 | 12.0 | 16.0 | 18.0 | 8/18 |
| answers | 1.0 | 2.0 | 4.0 | 5.0 | 6.0 | 0/5 (60-card) |
| fixing | 4.0 | 5.0 | 8.0 | 9.0 | 11.0 | 0/8 (60-card) |

## counters (n=70 of 98 with every essential present) — +1/+1 counters placed on bodies that read them
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 61 | 62 | 64 | 65 | 67 | - |
| payoff | 1.0 | 2.0 | 4.5 | 9.0 | 10.0 | 3/8 |
| sources | 3.0 | 6.0 | 9.0 | 15.0 | 18.0 | 6/16 |
| carriers | 4.0 | 5.0 | 8.0 | 11.0 | 15.0 | 3/11 |
| value | 3.0 | 4.0 | 6.0 | 8.0 | 9.0 | 0/8 (60-card) |
| answers | 1.0 | 1.0 | 3.0 | 4.0 | 5.0 | 0/5 (60-card) |
| fixing | 4.0 | 5.0 | 8.0 | 9.0 | 11.0 | 0/8 (60-card) |
