commander sample (training cohort): 1838 decks, 1838 resolved, 4 unresolved card rows, 200 distinct commanders

## aggro (n=7 of 7 with every essential present) — deployable pressure with reach and reload
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
| producers | 6.0 | 9.0 | 12.0 | 15.0 | 18.0 | 9/18 |
| output | 2.0 | 4.0 | 6.0 | 9.0 | 11.0 | 4/11 |
| value | 1.0 | 2.0 | 4.0 | 6.0 | 7.0 | 0/8 (60-card) |
| answers | 0.0 | 2.0 | 3.0 | 5.0 | 6.0 | 0/5 (60-card) |
| fixing | 3.0 | 4.0 | 5.0 | 7.0 | 9.0 | 0/8 (60-card) |

## tokens (n=86 of 89 with every essential present) — a wide board of creature tokens, converted by anthems or an outlet
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 61 | 63 | 64 | 65 | 67 | - |
| payoff | 4.0 | 5.5 | 10.0 | 15.0 | 19.0 | 6/19 |
| makers | 3.0 | 5.0 | 8.0 | 10.0 | 13.0 | 5/13 |
| value | 6.0 | 8.0 | 10.0 | 14.0 | 18.0 | 8/18 |
| answers | 1.0 | 2.0 | 3.0 | 5.0 | 5.0 | 0/5 (60-card) |
| fixing | 4.0 | 5.0 | 7.0 | 10.0 | 12.0 | 0/8 (60-card) |

## counters (n=66 of 86 with every essential present) — +1/+1 counters placed on bodies that read them
| role | p10 | p25 | median | p75 | p90 | frozen min/max |
|---|---:|---:|---:|---:|---:|---|
| (nonland copies) | 61 | 62 | 63 | 65 | 67 | - |
| payoff | 2.0 | 2.5 | 4.5 | 6.0 | 8.0 | 3/8 |
| sources | 4.5 | 6.0 | 9.0 | 15.0 | 16.0 | 6/16 |
| carriers | 3.0 | 3.0 | 5.0 | 8.0 | 11.0 | 3/11 |
| value | 2.0 | 3.0 | 4.0 | 5.0 | 7.0 | 0/8 (60-card) |
| answers | 1.0 | 1.0 | 3.0 | 4.0 | 5.0 | 0/5 (60-card) |
| fixing | 4.0 | 6.0 | 8.0 | 9.0 | 11.0 | 0/8 (60-card) |
