name,copies,lists,status,oracle_first_80
"Nazgûl",127,18,partial,"Deathtouch When this creature enters, the Ring tempts you. Whenever the Ring tem"
"Urza's Incubator",126,126,partial,"As this artifact enters, choose a creature type. Creature spells of the chosen t"
"Rise of the Dark Realms",125,125,partial,"Put all creature cards from all graveyards onto the battlefield under your contr"
"Return the Favor",125,125,partial,"Spree (Choose one or more additional costs.) + {1} — Copy target instant spell, "
"Palantír of Orthanc",123,123,partial,"At the beginning of your end step, put an influence counter on Palantír of Ortha"
"Birgi, God of Storytelling // Harnfel, Horn of Bounty",123,123,partial,"Whenever you cast a spell, add {R}. Until end of turn, you don't lose this mana "
"Beseech the Mirror",122,122,partial,"Bargain (You may sacrifice an artifact, enchantment, or token as you cast this s"
"Ugin, Eye of the Storms",122,122,partial,"When you cast this spell, exile up to one target permanent that's one or more co"
"Cursed Mirror",118,118,partial,"{T}: Add {R}. As this artifact enters, you may have it become a copy of any crea"
"Guardian Idol",118,118,partial,"This artifact enters tapped. {T}: Add {C}. {2}: This artifact becomes a 2/2 Gole"
"Plaguecrafter",117,117,partial,"When this creature enters, each player sacrifices a creature or planeswalker of "
"Summon: Bahamut",116,116,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Tezzeret, Cruel Captain",116,116,partial,"Whenever an artifact you control enters, put a loyalty counter on Tezzeret. 0: U"
"Ulamog, the Ceaseless Hunger",115,115,partial,"When you cast this spell, exile two target permanents. Indestructible Whenever U"
"Incubation Druid",113,113,partial,"{T}: Add one mana of any type that a land you control could produce. If this cre"
"Toski, Bearer of Secrets",111,111,partial,"This spell can't be countered. Indestructible Toski attacks each combat if able."
"Opposition Agent",110,110,partial,"Flash You control your opponents while they're searching their libraries. While "
"Skrelv, Defector Mite",110,110,partial,"Toxic 1 (Players dealt combat damage by this creature also get a poison counter."
"Breach the Multiverse",110,110,partial,"Each player mills ten cards. For each player, choose a creature or planeswalker "
"Conduit of Worlds",108,108,partial,"You may play lands from your graveyard. {T}: Choose target nonland permanent car"
"Six",108,108,partial,"Reach Whenever Six attacks, mill three cards. You may put a land card from among"
"Brazen Borrower // Petty Theft",106,106,partial,"Flash Flying This creature can block only creatures with flying. // Return targe"
"Saw in Half",105,105,partial,"Destroy target creature. If that creature dies this way, its controller creates "
"Imprisoned in the Moon",104,104,partial,"Enchant creature, land, or planeswalker Enchanted permanent is a colorless land "
"Cryptic Command",102,102,partial,"Choose two — • Counter target spell. • Return target permanent to its owner's ha"
"Reality Shift",101,101,partial,"Exile target creature. Its controller manifests the top card of their library. ("
"Damn",101,101,partial,"Destroy target creature. A creature destroyed this way can't be regenerated. Ove"
"Necromancy",101,101,partial,"You may cast this spell as though it had flash. If you cast it any time a sorcer"
"Elesh Norn, Mother of Machines",99,99,partial,"Vigilance If a permanent entering causes a triggered ability of a permanent you "
"Heraldic Banner",98,98,partial,"As this artifact enters, choose a color. Creatures you control of the chosen col"
"Cloud Key",98,98,partial,"As this artifact enters, choose artifact, creature, enchantment, instant, or sor"
"Clever Concealment",96,96,partial,"Convoke (Your creatures can help cast this spell. Each creature you tap while ca"
"Malcolm, Alluring Scoundrel",96,96,partial,"Flash Flying Whenever Malcolm deals combat damage to a player, put a chorus coun"
"Allosaurus Shepherd",95,95,partial,"This spell can't be countered. Green spells you control can't be countered. {4}{"
"Patriar's Humiliation",95,95,partial,"Target creature perpetually loses all abilities, then Patriar's Humiliation deal"
"Maskwood Nexus",94,94,partial,"Creatures you control are every creature type. The same is true for creature spe"
"Valgavoth, Terror Eater",94,94,partial,"Flying, lifelink Ward—Sacrifice three nonland permanents. If a card you didn't c"
"Unstoppable Slasher",93,93,partial,"Deathtouch Whenever this creature deals combat damage to a player, they lose hal"
"Narset, Parter of Veils",92,92,partial,"Each opponent can't draw more than one card each turn. −2: Look at the top four "
"Key to the Archive",92,92,partial,"This artifact enters tapped. When this artifact enters, draft a card from this a"
"Noxious Revival",91,91,partial,"({G/P} can be paid with either {G} or 2 life.) Put target card from a graveyard "
"Metallic Mimic",91,91,partial,"As this creature enters, choose a creature type. This creature is the chosen typ"
"Barrowgoyf",91,91,partial,"Deathtouch, lifelink Barrowgoyf's power is equal to the number of card types amo"
"Ghalta, Stampede Tyrant",90,90,partial,"Trample When Ghalta enters, put any number of creature cards from your hand onto"
"Liliana of the Veil",90,90,partial,"+1: Each player discards a card. −2: Target player sacrifices a creature. −6: Se"
"Grief",88,88,partial,"Menace When this creature enters, target opponent reveals their hand. You choose"
"The Wandering Emperor",88,88,partial,"Flash As long as The Wandering Emperor entered this turn, you may activate her l"
"Forensic Gadgeteer",87,87,partial,"Whenever you cast an artifact spell, investigate. (Create a Clue token. It's an "
"Bloodletter of Aclazotz",86,86,partial,"Flying If an opponent would lose life during your turn, they lose twice that muc"
"Chain Lightning",86,86,partial,"Chain Lightning deals 3 damage to any target. Then that player or that permanent"
"Torment of Hailfire",85,85,partial,"Repeat the following process X times. Each opponent loses 3 life unless that pla"
"Mizzix's Mastery",85,85,partial,"Exile target card that's an instant or sorcery from your graveyard. For each car"
"Ashaya, Soul of the Wild",85,85,partial,"Ashaya's power and toughness are each equal to the number of lands you control. "
"Agatha's Soul Cauldron",85,85,partial,"You may spend mana as though it were mana of any color to activate abilities of "
"Chandra, Torch of Defiance",85,85,partial,"+1: Exile the top card of your library. You may cast that card. If you don't, Ch"
"Flare of Fortitude",84,84,partial,"You may sacrifice a nontoken white creature rather than pay this spell's mana co"
"Curse of Silence",84,84,partial,"Enchant player As this Aura enters, choose a card name. Spells with the chosen n"
"The Darkness Crystal",83,83,partial,"Black spells you cast cost {1} less to cast. If a nontoken creature an opponent "
"Faeburrow Elder",83,83,partial,"Vigilance This creature gets +1/+1 for each color among permanents you control. "
"Altar of Dementia",83,83,partial,"Sacrifice a creature: Target player mills cards equal to the sacrificed creature"
"Scapeshift",83,83,partial,"Sacrifice any number of lands. Search your library for up to that many land card"
"Goreclaw, Terror of Qal Sisma",83,83,partial,"Creature spells you cast with power 4 or greater cost {2} less to cast. Whenever"
"Laboratory Maniac",82,82,partial,"If you would draw a card while your library has no cards in it, you win the game"
"Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel",82,82,partial,"Whenever Sephiroth enters or attacks, you may sacrifice another creature. If you"
"High Tide",82,82,partial,"Until end of turn, whenever a player taps an Island for mana, that player adds a"
"Trouble in Pairs",82,82,partial,"If an opponent would begin an extra turn, that player skips that turn instead. W"
"Etali, Primal Conqueror // Etali, Primal Sickness",82,82,partial,"Trample When Etali enters, each player exiles cards from the top of their librar"
"Vorinclex, Monstrous Raider",82,82,partial,"Trample, haste If you would put one or more counters on a permanent or player, p"
"Overlord of the Hauntwoods",82,82,partial,"Impending 4—{1}{G}{G} (If you cast this spell for its impending cost, it enters "
"Tishana's Tidebinder",82,82,partial,"Flash When this creature enters, counter up to one target activated or triggered"
"Persistent Petitioners",82,3,partial,"{1}, {T}: Target player mills a card. (They put the top card of their library in"
"Elspeth, Sun's Champion",81,81,partial,"+1: Create three 1/1 white Soldier creature tokens. −3: Destroy all creatures wi"
"Wurmcoil Engine",81,81,partial,"Deathtouch, lifelink When this creature dies, create a 3/3 colorless Phyrexian W"
"A-Guide of Souls",81,81,partial,"Whenever another creature you control enters, you gain 1 life and get {E} (an en"
"Whip of Erebos",80,80,partial,"Creatures you control have lifelink. {2}{B}{B}, {T}: Return target creature card"
"Rakdos Charm",80,80,partial,"Choose one — • Exile target player's graveyard. • Destroy target artifact. • Eac"
"Tibalt's Trickery",80,80,partial,"Counter target spell. Choose 1, 2, or 3 at random. Its controller mills that man"
"The Earth Crystal",80,80,partial,"Green spells you cast cost {1} less to cast. If one or more +1/+1 counters would"
"Ulamog, the Defiler",80,80,partial,"When you cast this spell, target opponent exiles the top half of their library, "
"Hoarding Broodlord",79,79,partial,"Convoke Flying When this creature enters, search your library for a card, exile "
"Glissa Sunslayer",79,79,partial,"First strike, deathtouch Whenever Glissa Sunslayer deals combat damage to a play"
"Mythweaver Poq",79,79,partial,"Mythweaver Poq's power and toughness are each equal to the number of lands you c"
"Living Death",78,78,partial,"Each player exiles all creature cards from their graveyard, then sacrifices all "
"Unnatural Growth",78,78,partial,"At the beginning of each combat, double the power and toughness of each creature"
"Ugin, the Ineffable",77,77,partial,"Colorless spells you cast cost {2} less to cast. +1: Exile the top card of your "
"Marvin, Murderous Mimic",76,76,partial,"Marvin has all activated abilities of creatures you control that don't have the "
"Peregrine Drake",76,76,partial,"Flying When this creature enters, untap up to five lands."
"Emrakul, the Promised End",76,76,partial,"This spell costs {1} less to cast for each card type among cards in your graveya"
"Teferi's Ageless Insight",75,75,partial,"If you would draw a card except the first one you draw in each of your draw step"
"Murderous Rider // Swift End",75,75,partial,"Lifelink When this creature dies, put it on the bottom of its owner's library. /"
"Thousand-Year Elixir",75,75,partial,"You may activate abilities of creatures you control as though those creatures ha"
"Howling Mine",75,75,partial,"At the beginning of each player's draw step, if this artifact is untapped, that "
"Kogla, the Titan Ape",75,75,partial,"When Kogla enters, it fights up to one target creature you don't control. Whenev"
"Blood Moon",74,74,partial,"Nonbasic lands are Mountains."
"Bulk Up",74,74,partial,"Double target creature's power until end of turn. Flashback {4}{R}{R} (You may c"
"The Queen of Dale",74,74,partial,"Whenever an opponent casts their first noncreature spell each turn, you recruit."
"Astral Cornucopia",74,74,partial,"This artifact enters with X charge counters on it. {T}: Choose a color. Add one "
"Goblin Anarchomancer",74,74,partial,"Each spell you cast that's red or green costs {1} less to cast."
"Portable Hole",73,73,partial,"When this artifact enters, exile target nonland permanent an opponent controls w"
"Aether Channeler",73,73,partial,"When this creature enters, choose one — • Create a 1/1 white Bird creature token"
"Oracle of the Alpha",73,73,partial,"Flying When Oracle of the Alpha enters the battlefield, conjure the Power Nine i"
"Gitaxian Probe",72,72,partial,"({U/P} can be paid with either {U} or 2 life.) Look at target player's hand. Dra"
"Elesh Norn, Grand Cenobite",72,72,partial,"Vigilance Other creatures you control get +2/+2. Creatures your opponents contro"
"Old Gnawbone",71,71,partial,"Flying Whenever a creature you control deals combat damage to a player, create t"
"Vraska, Betrayal's Sting",71,71,partial,"Compleated ({B/P} can be paid with {B} or 2 life. If life was paid, this planesw"
"Elspeth Conquers Death",71,71,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Arbor Elf",70,70,partial,"{T}: Untap target Forest."
"Trailblazer's Boots",70,70,partial,"Equipped creature has nonbasic landwalk. (It can't be blocked as long as defendi"
"Realmwalker",69,69,partial,"Changeling (This card is every creature type.) As this creature enters, choose a"
"Summon: Fenrir",69,69,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Caged Sun",68,68,partial,"As this artifact enters, choose a color. Creatures you control of the chosen col"
"Winter Moon",68,68,partial,"Players can't untap more than one nonbasic land during their untap steps."
"Priest of Forgotten Gods",67,67,partial,"{T}, Sacrifice two other creatures: Any number of target players each lose 2 lif"
"Electro, Assaulting Battery",67,67,partial,"Flying You don't lose unspent red mana as steps and phases end. Whenever you cas"
"Case of the Locked Hothouse",67,67,partial,"You may play an additional land on each of your turns. To solve — You control se"
"Currency Converter",67,67,partial,"Whenever you discard a card, you may exile that card from your graveyard. {2}, {"
"Mechanized Production",67,67,partial,"Enchant artifact you control At the beginning of your upkeep, create a token tha"
"Emrakul, the World Anew",67,67,partial,"When you cast this spell, gain control of all creatures target player controls. "
"The Aetherspark",67,67,partial,"As long as The Aetherspark is attached to a creature, The Aetherspark can't be a"
"Wheel of Fortune",66,66,partial,"Each player discards their hand, then draws seven cards."
"Great Train Heist",66,66,partial,"Spree (Choose one or more additional costs.) + {2}{R} — Untap all creatures you "
"Brash Taunter",66,66,partial,"Indestructible Whenever this creature is dealt damage, it deals that much damage"
"Ghost Vacuum",66,66,partial,"{T}: Exile target card from a graveyard. {6}, {T}, Sacrifice this artifact: Put "
"Angel of the Ruins",66,66,partial,"Flying When this creature enters, exile up to two target artifacts and/or enchan"
"Gix, Yawgmoth Praetor",66,66,partial,"Whenever a creature deals combat damage to one of your opponents, its controller"
"Throne of Eldraine",65,65,partial,"As Throne of Eldraine enters, choose a color. {T}: Add four mana of the chosen c"
"Invasion of Ikoria // Zilortha, Apex of Ikoria",65,65,partial,"(As a Siege enters, choose an opponent to protect it. You and others can attack "
"Gisela, Blade of Goldnight",65,65,partial,"Flying, first strike If a source would deal damage to an opponent or a permanent"
"Destiny Spinner",65,65,partial,"Creature and enchantment spells you control can't be countered. {3}{G}: Target l"
"Vorinclex, Voice of Hunger",65,65,partial,"Trample Whenever you tap a land for mana, add one mana of any type that land pro"
"Blind Obedience",64,64,partial,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent l"
"Avatar's Wrath",64,64,partial,"Choose up to one target creature, then airbend all other creatures. (Exile them."
"Kodama of the West Tree",64,64,partial,"Reach Modified creatures you control have trample. (Equipment, Auras you control"
"Myrel, Shield of Argive",64,64,partial,"During your turn, your opponents can't cast spells or activate abilities of arti"
"Bident of Thassa",63,63,partial,"Whenever a creature you control deals combat damage to a player, you may draw a "
"Colossus Hammer",63,63,partial,"Equipped creature gets +10/+10 and loses flying. Equip {8} ({8}: Attach to targe"
"Promise of Loyalty",62,62,partial,"Each player puts a vow counter on a creature they control and sacrifices the res"
"Chromatic Orrery",62,62,partial,"You may spend mana as though it were mana of any color. {T}: Add {C}{C}{C}{C}{C}"
"Cling to Dust",62,62,partial,"Exile target card from a graveyard. If it was a creature card, you gain 3 life. "
"Frenzied Baloth",62,62,partial,"This spell can't be countered. Trample, haste Creature spells you control can't "
"Nissa, Who Shakes the World",62,62,partial,"Whenever you tap a Forest for mana, add an additional {G}. +1: Put three +1/+1 c"
"Troll of Khazad-dûm",62,62,partial,"This creature can't be blocked except by three or more creatures. Swampcycling {"
"Hydroponics Architect",62,62,partial,"Flying Whenever this creature attacks, a random land card in your library perpet"
"Runaway Steam-Kin",61,61,partial,"Whenever you cast a red spell, if this creature has fewer than three +1/+1 count"
"Assemble the Team",61,61,partial,"Search the top third of your library, rounded up, for a card. Put that card into"
"Heartless Act",60,60,partial,"Choose one — • Destroy target creature with no counters on it. • Remove up to th"
"Curse of Opulence",60,60,partial,"Enchant player Whenever enchanted player is attacked, create a Gold token. Each "
"Hydroid Krasis",60,60,partial,"When you cast this spell, you gain half X life and draw half X cards. Round down"
"Gathering Stone",60,60,partial,"As this artifact enters, choose a creature type. Spells you cast of the chosen t"
"Airbender Ascension",60,60,partial,"When this enchantment enters, airbend up to one target creature. Whenever a crea"
"Mind Spike",60,60,partial,"Target opponent reveals each noncreature, nonland card in their hand. You choose"
"Mirari's Wake",59,59,partial,"Creatures you control get +1/+1. Whenever you tap a land for mana, add one mana "
"Slip Out the Back",59,59,partial,"Put a +1/+1 counter on target creature. It phases out. (Treat it and anything at"
"Darksteel Mutation",59,59,partial,"Enchant creature Enchanted creature is an Insect artifact creature with base pow"
"Jace, Wielder of Mysteries",59,59,partial,"If you would draw a card while your library has no cards in it, you win the game"
"Drannith Magistrate",58,58,partial,"Your opponents can't cast spells from anywhere other than their hands."
"Urabrask // The Great Work",58,58,partial,"First strike Whenever you cast an instant or sorcery spell, Urabrask deals 1 dam"
"Puresteel Paladin",58,58,partial,"Whenever an Equipment you control enters, you may draw a card. Metalcraft — Equi"
"Lord Skitter, Sewer King",58,58,partial,"Whenever another Rat you control enters, exile up to one target card from an opp"
"Tinybones, the Pickpocket",58,58,partial,"Deathtouch Whenever Tinybones deals combat damage to a player, you may cast targ"
"Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar",58,58,partial,"Flying Whenever Tamiyo attacks, investigate. (Create a Clue token. It's an artif"
"Koma, Cosmos Serpent",58,58,partial,"This spell can't be countered. At the beginning of each upkeep, create a 3/3 blu"
"Oust",58,58,partial,"Put target creature into its owner's library second from the top. Its controller"
"Strionic Resonator",57,57,partial,"{2}, {T}: Copy target triggered ability you control. You may choose new targets "
"Woe Strider",57,57,partial,"When this creature enters, create a 0/1 white Goat creature token. Sacrifice ano"
"Brotherhood's End",57,57,partial,"Choose one — • Brotherhood's End deals 3 damage to each creature and each planes"
"Inspiring Statuary",57,57,partial,"Nonartifact spells you cast have improvise. (Your artifacts can help cast those "
"Nyxbloom Ancient",57,57,partial,"Trample If you tap a permanent for mana, it produces three times as much of that"
"The Mightstone and Weakstone",57,57,partial,"When The Mightstone and Weakstone enters, choose one — • Draw two cards. • Targe"
"My Precious // Allure of Power",56,56,partial,"Equipped creature has hexproof and can't be blocked. Equip—{2}, Pay 2 life. // A"
"Guardian of Faith",56,56,partial,"Flash Vigilance When this creature enters, any number of other target creatures "
"Sheoldred // The True Scriptures",56,56,partial,"Menace When Sheoldred enters, each opponent sacrifices a nontoken creature or pl"
"The Eternal Wanderer",55,55,partial,"No more than one creature can attack The Eternal Wanderer each combat. +1: Exile"
"Rankle, Master of Pranks",55,55,partial,"Flying, haste Whenever Rankle deals combat damage to a player, choose any number"
"Akroma's Memorial",55,55,partial,"Creatures you control have flying, first strike, vigilance, trample, haste, and "
"Vorinclex // The Grand Evolution",55,55,partial,"Reach, trample When Vorinclex enters, search your library for up to two Forest c"
"Phlage, Titan of Fire's Fury",55,55,partial,"When Phlage enters, sacrifice it unless it escaped. Whenever Phlage enters or at"
"Peek",55,55,partial,"Look at target player's hand. Draw a card."
"Defense Grid",54,54,partial,"Each spell costs {3} more to cast except during its controller's turn."
"Platinum Angel",54,54,partial,"Flying You can't lose the game and your opponents can't win the game."
"Kozilek's Command",53,53,partial,"Choose two — • Target player creates X 0/1 colorless Eldrazi Spawn creature toke"
"Peer into the Abyss",53,53,partial,"Target player draws cards equal to half the number of cards in their library and"
"Courser of Kruphix",53,53,partial,"Play with the top card of your library revealed. You may play lands from the top"
"Deflecting Palm",53,53,partial,"The next time a source of your choice would deal damage to you this turn, preven"
"Seam Rip",53,53,partial,"When this enchantment enters, exile target nonland permanent an opponent control"
"Phyrexian Obliterator",52,52,partial,"Trample Whenever a source deals damage to this creature, that source's controlle"
"Myr Battlesphere",52,52,partial,"When this creature enters, create four 1/1 colorless Myr artifact creature token"
"Uthros Research Craft",52,52,partial,"Station (Tap another creature you control: Put charge counters equal to its powe"
"Sunfall",52,52,partial,"Exile all creatures. Incubate X, where X is the number of creatures exiled this "
"Disrupt Decorum",51,51,partial,"Goad all creatures you don't control. (Until your next turn, those creatures att"
"Blightsteel Colossus",51,51,partial,"Trample, infect, indestructible If Blightsteel Colossus would be put into a grav"
"Intruder Alarm",51,51,partial,"Creatures don't untap during their controllers' untap steps. Whenever a creature"
"Ram Through",51,51,partial,"Target creature you control deals damage equal to its power to target creature y"
"Genesis Wave",50,50,partial,"Reveal the top X cards of your library. You may put any number of permanent card"
"Moonsnare Prototype",50,50,partial,"{T}, Tap an untapped artifact or creature you control: Add {C}. Channel — {4}{U}"
"Forge Anew",50,50,partial,"When this enchantment enters, return target Equipment card from your graveyard t"
"Curse of the Swine",50,50,partial,"Exile X target creatures. For each creature exiled this way, its controller crea"
"Mystic Confluence",50,50,partial,"Choose three. You may choose the same mode more than once. • Counter target spel"
"Summon: Knights of Round",50,50,partial,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice aft"
"Liberator, Urza's Battlethopter",50,50,partial,"Flash Flying You may cast colorless spells and artifact spells as though they ha"
"Wary Zone Guard",50,50,partial,"Wary Zone Guard enters tapped. Survival — At the beginning of your second main p"
"Lethal Scheme",49,49,partial,"Convoke (Your creatures can help cast this spell. Each creature you tap while ca"
"Planar Engineering",49,49,partial,"Sacrifice two lands. Search your library for four basic land cards, put them ont"
"Shang-Chi, Master of Kung Fu",49,49,partial,"You may activate abilities of creatures you control as though those creatures ha"
"Dionus, Elvish Archdruid",49,49,partial,"Elves you control have ""Whenever this creature becomes tapped during your turn, "
"Monstrous Rage",49,49,partial,"Target creature gets +2/+0 until end of turn. Create a Monster Role token attach"
"Ripples of Potential",49,49,partial,"Proliferate, then choose any number of permanents you control that had a counter"
"Tekuthal, Inquiry Dominus",49,49,partial,"Flying If you would proliferate, proliferate twice instead. {1}{U/P}{U/P}, Remov"
"Screaming Nemesis",49,49,partial,"Haste Whenever this creature is dealt damage, it deals that much damage to any o"
"Dour Port-Mage",49,49,partial,"Whenever one or more other creatures you control leave the battlefield without d"
"Bloodchief Ascension",48,48,partial,"At the beginning of each end step, if an opponent lost 2 or more life this turn,"
"Cool but Rude",48,48,partial,"(Gain the next level as a sorcery to add its ability.) Whenever you attack, you "
"Approach of the Second Sun",48,48,partial,"If this spell was cast from your hand and you've cast another spell named Approa"
"Eerie Interlude",48,48,partial,"Exile any number of target creatures you control. Return those cards to the batt"
"Archon of Sun's Grace",48,48,partial,"Flying Lifelink (Damage dealt by this creature also causes you to gain that much"
"Dollmaker's Shop // Porcelain Gallery",48,48,partial,"Whenever one or more non-Toy creatures you control attack a player, create a 1/1"
"Combustible Gearhulk",48,48,partial,"First strike When this creature enters, target opponent may have you draw three "
"Rewind",47,47,partial,"Counter target spell. Untap up to four lands."
"Royal Treatment",47,47,partial,"Target creature you control gains hexproof until end of turn. Create a Royal Rol"
"Wandering Archaic // Explore the Vastlands",47,47,partial,"Whenever an opponent casts an instant or sorcery spell, they may pay {2}. If the"
"Bloodline Bidding",47,47,partial,"Convoke (Your creatures can help cast this spell. Each creature you tap while ca"
"Muldrotha, the Gravetide",47,47,partial,"During each of your turns, you may play a land and cast a permanent spell of eac"
"Valakut Exploration",47,47,partial,"Landfall — Whenever a land you control enters, exile the top card of your librar"
"Firemane Commando",47,47,partial,"Flying Whenever you attack with two or more creatures, draw a card. Whenever ano"
"Wear // Tear",47,47,partial,"Destroy target artifact. Fuse (You may cast one or both halves of this card from"
"Fuel Tank Feaster",47,47,partial,"At the beginning of your first main phase, a random creature card with the great"
"Twinflame",46,46,partial,"Strive — This spell costs {2}{R} more to cast for each target beyond the first. "
"Fact or Fiction",46,46,partial,"Reveal the top five cards of your library. An opponent separates those cards int"
"Titan of Industry",46,46,partial,"Reach, trample When this creature enters, choose two — • Destroy target artifact"
"Radagast of Rhosgobel",46,46,partial,"The first creature spell you cast each turn costs {2} less to cast and can be ca"
"Aven Mindcensor",46,46,partial,"Flash Flying If an opponent would search a library, that player searches the top"
"Inkshield",45,45,partial,"Prevent all combat damage that would be dealt to you this turn. For each 1 damag"
"Army of the Damned",45,45,partial,"Create thirteen tapped 2/2 black Zombie creature tokens. Flashback {7}{B}{B}{B} "
"Demonic Counsel",45,45,partial,"Search your library for a Demon card, reveal it, put it into your hand, then shu"
"Splash Portal",45,45,partial,"Exile target creature you control, then return it to the battlefield under its o"
"Replicating Ring",45,45,partial,"{T}: Add one mana of any color. At the beginning of your upkeep, put a night cou"
"Zopandrel, Hunger Dominus",45,45,partial,"Reach At the beginning of each combat, double the power and toughness of each cr"
"Scrap Trawler",45,45,partial,"Whenever this creature dies or another artifact you control is put into a gravey"
"Volatile Stormdrake",45,45,partial,"Flying, hexproof from activated and triggered abilities When this creature enter"
"Nowhere to Run",45,45,partial,"Flash When this enchantment enters, target creature an opponent controls gets -3"
"Season of Gathering",45,45,partial,"Choose up to five {P} worth of modes. You may choose the same mode more than onc"
"Sakashima of a Thousand Faces",45,45,partial,"You may have Sakashima enter as a copy of another creature you control, except i"
"A-Dragon's Rage Channeler",45,45,partial,"Whenever you cast a noncreature spell, surveil 1. (Look at the top card of your "
"Dusk // Dawn",44,44,partial,"Destroy all creatures with power 3 or greater. // Aftermath (Cast this spell onl"
"Charismatic Conqueror",44,44,partial,"Vigilance Whenever an artifact or creature an opponent controls enters untapped,"
"Firebending Student",44,44,partial,"Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until e"
"Ardyn, the Usurper",44,44,partial,"Demons you control have menace, lifelink, and haste. Starscourge — At the beginn"
"Ride the Shoopuf",44,44,partial,"Landfall — Whenever a land you control enters, put a +1/+1 counter on target cre"
"Freed from the Real",44,44,partial,"Enchant creature {U}: Tap enchanted creature. {U}: Untap enchanted creature."
"Angelic Destiny",44,44,partial,"Enchant creature Enchanted creature gets +4/+4, has flying and first strike, and"
"Settle the Wreckage",44,44,partial,"Exile all attacking creatures target player controls. That player may search the"
"Taunt from the Rampart",44,44,partial,"Goad all creatures your opponents control. Until your next turn, those creatures"
"The Endstone",44,44,partial,"Whenever you play a land or cast a spell, draw a card. At the beginning of your "
"Shuri, Wakandan Inventor",44,44,partial,"Artifact spells you cast cost {1} less to cast. {1}, {T}: Target artifact you co"
