cohort,id,commander,F,coverage,plan,plan_live,R,q_live,q_typed,q_final,q_typed_final,conc_gap,conc_share,conc_ent,role_conc,link_cons,link_u,link_typed,link_plan,cmd_link,cmd_econ,cmd_typed,cmd_member,shape_d,s_live,total,win_w,base,w_syn,cap_hard,mana_m,mv_fit,comb_qc,comb_ql
"real","381392156","Dina, Essence Brewer",62.000000,0.790323,"aristocrats","aristocrats",0.990000,0.693548,0.877551,0.690000,0.873061,0.064516,0.524390,0.007541,0.123941,1.000000,1.000000,0.020408,1.000000,0.000000,0.755102,1.000000,1.000000,,62.000000,70.000000,64.400000,80.350515,17.525773,100.000000,97.300000,0.903226,0.460179,0.877551
"real","381392136","The Wise Mothman",63.000000,0.634921,"counters","counters",0.594000,0.492063,0.775000,0.480000,0.756000,0.015873,0.508197,0.000891,0.054911,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,73.200000,68.274227,17.525773,100.000000,88.400000,0.936508,0.393852,0.775000
"real","381416947","Giada, Font of Hope",61.000000,0.819672,"typal","typal",1.000000,0.754098,0.920000,0.750000,0.915000,0.147541,0.554217,0.004381,0.177137,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,100.000000,62.000000,52.100000,82.117526,17.525773,100.000000,94.200000,0.918033,0.509880,0.920000
"real","381394407","Kefka, Court Mage // Kefka, Ruler of Ruin",61.000000,0.622951,"control","midrange",0.330000,0.327869,0.526316,0.300000,0.481579,0.016393,0.512821,0.001135,0.183134,1.000000,1.000000,0.026316,1.000000,0.000000,0.526316,1.000000,1.000000,-0.232364,0.000000,20.000000,68.700000,69.391753,17.525773,100.000000,86.800000,0.950820,0.269906,0.526316
"real","381393113","Sephiroth, Fabled SOLDIER // Sephiroth, One-Winged Angel",62.000000,0.822581,"aristocrats","aristocrats",0.990000,0.693548,0.843137,0.690000,0.838824,0.112903,0.544304,0.006594,0.110059,1.000000,1.000000,0.039216,1.000000,0.000000,0.000000,0.000000,0.000000,,62.000000,29.000000,10.700000,60.206186,17.525773,100.000000,98.100000,0.854839,0.458923,0.843137
"real","381415118","Lathril, Blade of the Elves",61.000000,0.803279,"typal","typal",1.000000,0.607717,0.756545,0.610000,0.759388,0.033946,0.514366,0.003216,0.085649,1.000000,1.000000,0.000000,1.000000,0.000000,0.510204,1.000000,1.000000,,0.000000,19.000000,73.200000,70.288660,17.525773,19.000000,98.500000,0.950820,0.389141,0.756545
"real","381415987","Nekusar, the Mindrazer",62.000000,0.790323,"midrange","midrange",0.990000,0.615510,0.778808,0.610000,0.771837,0.053601,0.522762,0.004378,0.063414,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,0.000000,54.406186,17.525773,100.000000,88.400000,0.935484,0.407131,0.778808
"real","381384818","Quintorius, History Chaser",62.000000,0.822581,"typal","typal",1.000000,0.693548,0.843137,0.690000,0.838824,0.014826,0.505402,0.005127,0.109799,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,62.000000,66.000000,58.100000,76.301031,17.525773,100.000000,98.600000,0.983871,0.426123,0.843137
"real","381387794","Silverquill, the Disputant",65.000000,0.815385,"aristocrats","aristocrats",0.990000,0.753846,0.924528,0.740000,0.907547,0.015385,0.505155,0.004700,0.048966,1.000000,1.000000,0.018868,1.000000,0.000000,0.000000,0.000000,0.000000,,100.000000,75.000000,68.700000,89.773196,17.525773,100.000000,97.600000,0.923077,0.467030,0.924528
"real","381395465","Jodah, the Unifier",71.000000,0.788732,"counters","spells",0.495000,0.563380,0.714286,0.410000,0.519821,0.049794,0.523118,0.011586,0.128777,1.000000,1.000000,0.000000,1.000000,0.000000,0.553571,1.000000,1.000000,,0.000000,20.000000,71.900000,59.529897,17.525773,100.000000,50.200000,0.845070,0.373655,0.714286
"real","381388593","Maralen, Fae Ascendant",63.000000,0.825397,"typal","typal",1.000000,0.608466,0.737179,0.590000,0.714808,0.002405,0.500990,0.015475,0.122675,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,52.100000,55.577320,17.525773,100.000000,96.400000,0.968254,0.369320,0.737179
"real","381410055","Prismari, the Inspiration",63.000000,0.777778,"spells","spells",0.792000,0.682540,0.877551,0.680000,0.874286,0.111111,0.544304,0.009376,0.194924,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,20.000000,74.300000,73.286598,17.525773,100.000000,92.200000,0.888889,0.477654,0.877551
"real","381393047","Tidus, Yuna's Guardian",63.000000,0.619048,"counters","counters",0.594000,0.555556,0.897436,0.560000,0.904615,0.206349,0.614035,0.013539,0.162735,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,64.400000,65.802062,17.525773,100.000000,89.400000,0.936508,0.551057,0.897436
"real","381391367","Leonardo, the Balance",62.000000,0.645161,"control","control",1.000000,0.532258,0.825000,0.450000,0.697500,0.048387,0.523810,0.003352,0.003896,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.160361,0.000000,20.000000,48.800000,63.717526,17.525773,100.000000,95.400000,0.967742,0.432143,0.825000
"real","381393313","Valgavoth, Harrower of Souls",59.000000,0.661017,"control","control",0.990000,0.548023,0.829060,0.510000,0.771538,0.039548,0.518717,0.005453,0.139759,1.000000,1.000000,0.000000,1.000000,0.000000,0.435897,1.000000,1.000000,,0.000000,19.000000,0.000000,54.612371,17.525773,19.000000,95.600000,0.983051,0.430047,0.829060
"real","381390636","Yuriko, the Tiger's Shadow",65.000000,0.815385,"midrange","midrange",0.594000,0.461538,0.566038,0.430000,0.527358,0.015385,0.508475,0.001800,0.062601,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.090406,0.000000,20.000000,0.000000,48.859794,17.525773,100.000000,95.300000,0.907692,0.287816,0.566038
"real","381412744","Isshin, Two Heavens as One",63.000000,0.746032,"recursion","recursion",1.000000,0.460317,0.617021,0.400000,0.536170,0.038095,0.521583,0.003034,0.084183,1.000000,0.000000,0.000000,1.000000,0.021277,0.553191,1.000000,1.000000,,0.000000,20.000000,48.800000,50.290722,17.525773,100.000000,68.700000,0.841270,0.321828,0.617021
"real","381373080","Ulalek, Fused Atrocity",71.000000,0.605634,"midrange","midrange",0.594000,0.464789,0.767442,0.430000,0.710000,0.037559,0.521053,0.005910,0.099904,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.204655,0.000000,20.000000,66.700000,57.065979,17.525773,100.000000,46.800000,0.676056,0.399878,0.767442
"real","381384833","Frodo, Adventurous Hobbit",62.000000,0.725806,"lifegain","control",0.495000,0.612903,0.844444,0.410000,0.564889,0.032258,0.513514,0.009586,0.167970,1.000000,1.000000,0.022222,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,19.000000,68.700000,68.756701,17.525773,19.000000,90.200000,0.983871,0.433634,0.844444
"real","381386336","Hakbal of the Surging Soul",63.000000,0.746032,"typal","typal",1.000000,0.650794,0.872340,0.650000,0.871277,0.079365,0.532468,0.008366,0.207407,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,46.500000,62.785567,17.525773,100.000000,96.500000,0.984127,0.464493,0.872340
"real","381394410","Baylen, the Haymaker",63.000000,0.841270,"aggro","aggro",0.900000,0.661376,0.786164,0.660000,0.784528,0.135161,0.556906,0.033823,0.317731,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,61.300000,64.226804,17.525773,100.000000,97.500000,0.920635,0.437819,0.786164
"real","381389277","Lorehold, the Historian",61.000000,0.721311,"recursion","recursion",0.990000,0.491803,0.681818,0.490000,0.679318,0.032787,0.517241,0.006279,0.051165,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.045182,0.000000,20.000000,45.300000,62.554639,17.525773,100.000000,98.600000,0.819672,0.352665,0.681818
"real","381379073","Ureni of the Unwritten",62.000000,0.725806,"typal","typal",1.000000,0.596774,0.822222,0.600000,0.826667,0.161290,0.578125,0.007899,0.163543,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,64.400000,55.931959,17.525773,100.000000,80.300000,0.935484,0.475347,0.822222
"real","381395398","Doctor Doom, King of Latveria",63.000000,0.761905,"midrange","midrange",1.000000,0.587302,0.770833,0.480000,0.630000,0.047619,0.521127,0.001557,0.013755,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.021961,0.000000,20.000000,68.700000,70.822680,17.525773,100.000000,93.600000,0.936508,0.401702,0.770833
"real","381395664","Sisay, Weatherlight Captain",65.000000,0.600000,"tokens","control",0.825000,0.523077,0.871795,0.350000,0.583333,0.046154,0.523077,0.005556,0.045039,1.000000,1.000000,0.000000,1.000000,0.000000,0.769231,1.000000,1.000000,,0.000000,20.000000,66.700000,58.740206,17.525773,100.000000,76.100000,0.923077,0.456016,0.871795
"real","381395482","Kuja, Genome Sorcerer // Trance Kuja, Fate Defied",63.000000,0.809524,"spells","spells",1.000000,0.666667,0.823529,0.670000,0.827647,0.015873,0.506024,0.003613,0.044282,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,20.000000,73.200000,70.855670,17.525773,100.000000,97.200000,0.904762,0.416726,0.823529
"real","381392629","Avatar Aang // Aang, Master of Elements",65.000000,0.553846,"typal","typal",1.000000,0.476923,0.861111,0.480000,0.866667,0.123077,0.574074,0.008447,0.163177,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,20.000000,0.000000,47.509278,17.525773,100.000000,62.000000,1.000000,0.494342,0.861111
"real","381392867","Rootha, Mastering the Moment",61.000000,0.836066,"control","spells",1.000000,0.639344,0.764706,0.640000,0.765490,0.065574,0.527027,0.002352,0.134653,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.097047,0.000000,20.000000,73.200000,71.581443,17.525773,100.000000,93.000000,0.901639,0.403021,0.764706
"real","381396111","Glarb, Calamity's Augur",59.000000,0.745763,"recursion","recursion",0.990000,0.677966,0.909091,0.680000,0.911818,0.099983,0.539804,0.004152,0.057268,1.000000,1.000000,0.022727,1.000000,0.000000,0.477273,1.000000,1.000000,,0.000000,20.000000,46.500000,60.736082,17.525773,100.000000,91.000000,0.864407,0.490731,0.909091
"real","381415227","Ygra, Eater of All",63.000000,0.746032,"aristocrats","aristocrats",1.000000,0.634921,0.851064,0.630000,0.844468,0.015873,0.506329,0.003976,0.104470,1.000000,1.000000,0.000000,1.000000,0.042553,0.765957,1.000000,1.000000,,0.000000,20.000000,68.700000,69.055670,17.525773,100.000000,94.100000,0.746032,0.430918,0.851064
"real","381381934","Queen Marchesa",61.000000,0.573770,"control","control",0.330000,0.459016,0.800000,0.390000,0.679714,0.016393,0.509091,0.001471,0.121000,1.000000,1.000000,0.000000,1.000000,0.000000,0.400000,1.000000,1.000000,,0.000000,20.000000,71.900000,70.113402,17.525773,100.000000,98.300000,0.983607,0.407273,0.800000
"real","381392131","Jin Sakai, Ghost of Tsushima",65.000000,0.692308,"midrange","midrange",0.396000,0.430769,0.622222,0.430000,0.621111,0.000000,0.500000,0.000750,0.085610,1.000000,1.000000,0.000000,1.000000,0.000000,0.355556,1.000000,1.000000,0.102131,0.000000,20.000000,74.300000,72.494845,17.525773,100.000000,93.700000,0.923077,0.311111,0.622222
"real","381393458","Caesar, Legion's Emperor",67.000000,0.805970,"aristocrats","aristocrats",1.000000,0.582090,0.722222,0.580000,0.719630,0.014925,0.506494,0.007556,0.105779,1.000000,1.000000,0.037037,1.000000,0.074074,0.629630,1.000000,1.000000,,0.000000,20.000000,58.100000,57.459794,17.525773,100.000000,57.500000,0.880597,0.365801,0.722222
"real","381390653","Betor, Ancestor's Voice",60.000000,0.750000,"recursion","recursion",0.396000,0.616667,0.822222,0.550000,0.733333,0.066667,0.528571,0.016439,0.120028,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.257389,0.000000,20.000000,58.100000,53.569072,17.525773,100.000000,91.300000,0.650000,0.434603,0.822222
"real","381386196","Muldrotha, the Gravetide",63.000000,0.841270,"aristocrats","aristocrats",1.000000,0.777778,0.924528,0.780000,0.927170,0.058201,0.519435,0.006792,0.099556,1.000000,1.000000,0.018868,1.000000,0.000000,0.000000,0.000000,0.000000,,100.000000,78.000000,71.900000,87.680412,17.525773,100.000000,92.600000,0.841270,0.480232,0.924528
"real","381380434","Aragorn, the Uniter",63.000000,0.777778,"control","control",1.000000,0.666667,0.857143,0.510000,0.655714,0.089947,0.536170,0.003397,0.047876,1.000000,1.000000,0.000000,1.000000,0.000000,0.653061,1.000000,1.000000,0.013113,0.000000,20.000000,74.300000,71.006186,17.525773,100.000000,95.000000,1.000000,0.459574,0.857143
"real","381390284","Breya, Etherium Shaper",62.000000,0.870968,"typal","typal",1.000000,0.693548,0.796296,0.690000,0.792222,0.112903,0.544304,0.005315,0.243729,1.000000,1.000000,0.000000,1.000000,0.018519,0.370370,1.000000,1.000000,,62.000000,57.000000,46.500000,73.931959,17.525773,100.000000,93.600000,0.919355,0.433427,0.796296
"real","381391389","Kilo, Apogee Mind",62.000000,0.790323,"typal","typal",1.000000,0.620968,0.785714,0.620000,0.784490,0.072581,0.531034,0.005699,0.327218,1.000000,0.500000,0.010204,0.500000,0.000000,0.428571,1.000000,1.000000,,0.000000,20.000000,0.000000,52.810309,17.525773,100.000000,93.000000,0.967742,0.417241,0.392857
"real","381395495","The Wandering Minstrel",59.000000,0.610169,"spells","spells",0.495000,0.457627,0.750000,0.460000,0.753889,0.118644,0.574468,0.006043,0.336786,1.000000,1.000000,0.000000,1.000000,0.000000,0.250000,1.000000,1.000000,,0.000000,20.000000,0.000000,49.816495,17.525773,100.000000,94.700000,0.711864,0.430851,0.750000
"real","381414040","Felothar the Steadfast",38.000000,0.631579,"recursion","recursion",0.217391,0.421053,0.666667,0.420000,0.665000,0.052632,0.533333,0.011931,0.109252,1.000000,0.500000,0.020833,0.500000,0.000000,0.000000,0.000000,1.000000,0.106920,0.000000,20.000000,0.000000,40.909278,17.525773,100.000000,92.300000,0.921053,0.355556,0.333333
"real","381384494","Urza, Lord High Artificer",62.000000,0.693548,"typal","typal",1.000000,0.580645,0.837209,0.580000,0.836279,0.096774,0.545455,0.004647,0.202334,1.000000,1.000000,0.000000,1.000000,0.000000,0.581395,1.000000,1.000000,,0.000000,20.000000,75.300000,71.523711,17.525773,100.000000,99.200000,0.935484,0.456660,0.837209
"real","381569655","Zurgo Stormrender",62.000000,0.774194,"aristocrats","aristocrats",1.000000,0.725806,0.937500,0.730000,0.942917,0.016129,0.505618,0.008428,0.097492,1.000000,1.000000,0.062500,1.000000,0.000000,0.625000,1.000000,1.000000,,100.000000,66.000000,58.100000,82.529897,17.525773,100.000000,96.600000,0.967742,0.474017,0.937500
"real","381395676","Etali, Primal Conqueror // Etali, Primal Sickness",70.000000,0.800000,"control","control",0.707143,0.457143,0.571429,0.310000,0.387500,0.066667,0.539326,0.006534,0.072162,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,20.000000,58.200000,64.152577,17.525773,100.000000,95.100000,1.000000,0.308186,0.571429
"real","381389989","Teysa Karlov",61.000000,0.819672,"aristocrats","aristocrats",1.000000,0.704918,0.860000,0.700000,0.854000,0.032787,0.511905,0.004973,0.130516,0.000000,0.000000,0.000000,1.000000,0.000000,0.720000,1.000000,0.000000,,100.000000,65.000000,56.100000,81.098969,17.525773,100.000000,98.600000,0.704918,0.440238,0.860000
"real","381395424","Thranduil, the Elvenking",63.000000,0.873016,"typal","typal",1.000000,0.714286,0.818182,0.710000,0.813273,0.142857,0.555556,0.005634,0.141068,1.000000,1.000000,0.018182,1.000000,0.000000,0.000000,0.000000,1.000000,,100.000000,62.000000,52.100000,79.037113,17.525773,100.000000,94.600000,1.000000,0.454545,0.818182
"real","381390611","Wilhelt, the Rotcleaver",65.000000,0.830769,"typal","typal",1.000000,0.661538,0.796296,0.650000,0.782407,0.015385,0.505882,0.004246,0.101475,1.000000,1.000000,0.018519,1.000000,0.000000,0.629630,1.000000,1.000000,,0.000000,20.000000,68.700000,65.754639,17.525773,100.000000,80.600000,0.969231,0.402832,0.796296
"real","381389294","Helga, Skittish Seer",61.000000,0.688525,"counters","counters",0.825000,0.409836,0.595238,0.410000,0.595476,0.120219,0.585937,0.008698,0.078252,1.000000,1.000000,0.000000,1.000000,0.000000,0.928571,1.000000,1.000000,,0.000000,19.000000,50.600000,54.379381,17.525773,19.000000,82.800000,0.868852,0.348772,0.595238
"real","381377115","Henzie ""Toolbox"" Torre",62.000000,0.790323,"recursion","recursion",1.000000,0.645161,0.816327,0.650000,0.822449,0.048387,0.519481,0.007705,0.104625,1.000000,1.000000,0.020408,1.000000,0.000000,0.000000,0.000000,1.000000,0.211300,0.000000,20.000000,66.700000,59.521649,17.525773,100.000000,94.300000,0.741935,0.424066,0.816327
"real","381369846","Hashaton, Scarab's Fist",62.000000,0.806452,"control","control",1.000000,0.666667,0.826667,0.570000,0.706800,0.034702,0.513361,0.002747,0.172491,1.000000,1.000000,0.020000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,20.000000,40.400000,62.661856,17.525773,100.000000,96.900000,0.951613,0.424378,0.826667
"real","381376131","Terra, Magical Adept // Esper Terra",61.000000,0.540984,"typal","control",0.180000,0.459016,0.848485,0.370000,0.683939,0.087432,0.552632,0.008155,0.074676,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,20.000000,48.300000,64.501031,17.525773,100.000000,93.900000,0.918033,0.468900,0.848485
"real","381392708","Zaxara, the Exemplary",63.000000,0.682540,"counters","counters",0.396000,0.523810,0.767442,0.520000,0.761860,0.047619,0.523810,0.001580,0.082747,1.000000,1.000000,0.000000,1.000000,0.000000,0.627907,1.000000,1.000000,,0.000000,20.000000,74.300000,71.282474,17.525773,100.000000,89.900000,0.984127,0.401993,0.767442
"real","381389286","The Necrobloom",58.000000,0.827586,"recursion","recursion",1.000000,0.672414,0.812500,0.660000,0.797500,0.000000,0.500000,0.011187,0.047344,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.103878,0.000000,20.000000,44.000000,52.622680,17.525773,100.000000,77.400000,0.965517,0.406250,0.812500
"real","381394544","Shorikai, Genesis Engine",64.000000,0.781250,"midrange","midrange",0.247500,0.484375,0.620000,0.380000,0.486400,0.046875,0.525424,0.004674,0.120692,1.000000,1.000000,0.000000,1.000000,0.000000,0.500000,1.000000,1.000000,,0.000000,20.000000,88.700000,66.381443,17.525773,100.000000,77.600000,0.859375,0.325763,0.620000
"real","381363494","The Jolly Balloon Man",64.000000,0.890625,"midrange","combo",1.000000,0.656250,0.736842,0.480000,0.538947,0.029672,0.511565,0.004929,0.018622,1.000000,1.000000,0.000000,1.000000,0.035088,0.631579,1.000000,0.000000,0.030788,42.800000,54.000000,70.400000,75.890722,17.525773,100.000000,95.700000,0.937500,0.376943,0.736842
"real","381383675","Vihaan, Goldwaker",65.000000,0.753846,"midrange","midrange",0.247500,0.584615,0.775510,0.510000,0.676531,0.041026,0.518182,0.015259,0.106235,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,19.000000,64.400000,60.305155,17.525773,19.000000,78.100000,0.876923,0.401855,0.775510
"real","381379796","Oviya, Automech Artisan",66.000000,0.742424,"tokens","tokens",0.495000,0.348485,0.469388,0.350000,0.471429,0.045455,0.534884,0.007105,0.115279,1.000000,1.000000,0.000000,1.000000,0.000000,0.530612,1.000000,0.000000,,0.000000,19.000000,19.200000,48.383505,17.525773,19.000000,65.100000,0.696970,0.251068,0.469388
"real","381391148","Xu-Ifit, Osteoharmonist",64.000000,0.781250,"recursion","recursion",1.000000,0.562500,0.720000,0.550000,0.704000,0.015625,0.507042,0.002457,0.082832,1.000000,1.000000,0.020000,1.000000,0.080000,0.600000,1.000000,1.000000,,0.000000,19.000000,58.100000,63.795876,17.525773,19.000000,96.400000,0.859375,0.365070,0.720000
"real","379205237","The Archimandrite",71.000000,0.845070,"spells","combo",1.000000,0.605634,0.716667,0.680000,0.804667,0.014085,0.505882,0.005890,0.189149,1.000000,1.000000,0.033333,1.000000,0.000000,0.000000,0.000000,0.000000,,93.600000,78.000000,71.900000,85.280412,17.525773,100.000000,97.500000,0.971831,0.362549,0.716667
"real","381384959","Queza, Augur of Agonies",61.000000,0.803279,"midrange","midrange",0.990000,0.480874,0.598639,0.460000,0.572653,0.002484,0.501295,0.000661,0.235050,1.000000,1.000000,0.000000,1.000000,0.000000,0.408163,1.000000,1.000000,,0.000000,20.000000,0.000000,55.402062,17.525773,100.000000,94.700000,0.934426,0.300095,0.598639
"real","381416305","Marwyn, the Nurturer",67.000000,0.776119,"typal","typal",1.000000,0.627921,0.809052,0.630000,0.811731,0.075682,0.532064,0.017307,0.132331,1.000000,1.000000,0.000000,1.000000,0.000000,0.692308,1.000000,1.000000,,0.000000,20.000000,0.000000,42.641237,17.525773,100.000000,64.200000,0.955224,0.430468,0.809052
"real","381392150","Azlask, the Swelling Scourge",65.000000,0.692308,"midrange","typal",0.618750,0.584615,0.844444,0.580000,0.837778,0.046154,0.520548,0.015060,0.072230,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,20.000000,66.700000,54.061856,17.525773,100.000000,49.200000,0.676923,0.439574,0.844444
"real","381381530","Captain Sisay",59.000000,0.508475,"aggro","midrange",0.300000,0.372881,0.733333,0.370000,0.727667,0.000000,0.500000,0.018558,0.100111,1.000000,1.000000,0.000000,1.000000,0.000000,0.833333,1.000000,0.000000,-0.048335,0.000000,20.000000,45.300000,62.630928,17.525773,100.000000,99.500000,0.813559,0.366667,0.733333
"real","381391598","Cosmic Spider-Man",63.000000,0.619048,"typal","typal",1.000000,0.571429,0.923077,0.570000,0.920769,0.142857,0.571429,0.009372,0.197441,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,75.800000,69.791753,17.525773,100.000000,92.300000,0.984127,0.527473,0.923077
"real","381140642","Delney, Streetwise Lookout",62.000000,0.774194,"midrange","midrange",0.396000,0.502607,0.649200,0.500000,0.645833,0.002607,0.501300,0.000169,0.178406,1.000000,1.000000,0.000000,1.000000,0.000000,0.583333,1.000000,0.000000,0.103366,0.000000,20.000000,71.900000,69.193814,17.525773,100.000000,99.600000,0.935484,0.325444,0.649200
"real","381382867","Kamiz, Obscura Oculus",61.000000,0.672131,"midrange","counters",0.792000,0.540984,0.804878,0.540000,0.803415,0.065574,0.532258,0.002122,0.064616,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,,0.000000,20.000000,0.000000,53.624742,17.525773,100.000000,83.200000,0.983607,0.428403,0.804878
"real","381383328","Orvar, the All-Form",59.000000,0.762712,"control","spells",1.000000,0.644068,0.844444,0.640000,0.839111,0.084746,0.535211,0.013482,0.200991,1.000000,1.000000,0.000000,1.000000,0.000000,0.488889,1.000000,0.000000,-0.117740,0.000000,20.000000,91.100000,77.148454,17.525773,100.000000,100.000000,0.966102,0.451956,0.844444
"real","381151596","Mairsil, the Pretender",65.000000,0.815385,"midrange","midrange",0.594000,0.553846,0.679245,0.490000,0.600943,0.030769,0.514286,0.005502,0.078772,1.000000,1.000000,0.018868,1.000000,0.000000,0.000000,0.000000,0.000000,,0.000000,19.000000,68.700000,68.863918,17.525773,19.000000,85.000000,0.876923,0.349326,0.679245
