cohort,id,commander,F,coverage,plan,plan_live,R,q_live,q_typed,q_final,q_typed_final,conc_gap,conc_share,conc_ent,role_conc,link_cons,link_u,link_typed,link_plan,cmd_link,cmd_econ,cmd_typed,cmd_member,shape_d,s_live,total,win_w,base,w_syn,cap_hard,mana_m,mv_fit,comb_qc,comb_ql
"cedh","cedh-1","Thrasios, Triton Hero|band=80-95",70.000000,0.928571,"tokens","control",0.495000,0.519048,0.558974,0.390000,0.420000,0.042857,0.521531,0.001839,0.098196,1.000000,1.000000,0.030769,1.000000,0.061538,0.600000,1.000000,1.000000,0.000000,0.000000,20.000000,72.000000,68.342268,17.525773,100.000000,90.800000,0.985714,0.291523,0.558974
"cedh","cedh-2","Thrasios, Triton Hero|band=80-95",70.000000,0.928571,"spells","combo",0.495000,0.709524,0.764103,0.730000,0.786154,0.219048,0.591270,0.013908,0.306531,1.000000,1.000000,0.000000,1.000000,0.046154,0.538462,1.000000,0.000000,0.000000,100.000000,91.000000,90.500000,91.096907,17.525773,100.000000,93.800000,0.971429,0.451791,0.764103
"cedh","cedh-3","Thrasios, Triton Hero|band=80-95",71.000000,0.929577,"midrange","combo",0.396000,0.591549,0.636364,0.700000,0.753030,0.009390,0.504000,0.007543,0.106235,1.000000,1.000000,0.015152,1.000000,0.030303,0.590909,1.000000,1.000000,0.000000,100.000000,89.000000,93.500000,89.482474,17.525773,100.000000,87.500000,0.985915,0.320727,0.636364
"cedh","cedh-4","Thrasios, Triton Hero|band=80-95",74.000000,0.878378,"spells","combo",0.495000,0.644144,0.733333,0.660000,0.751385,0.193694,0.588477,0.021565,0.320213,1.000000,1.000000,0.000000,1.000000,0.030769,0.507692,1.000000,0.000000,0.000000,90.000000,86.000000,92.100000,87.364948,17.525773,100.000000,82.400000,0.972973,0.431550,0.733333
"cedh","cedh-5","Thrasios, Triton Hero|band=80-95",73.000000,0.876712,"spells","combo",0.495000,0.639269,0.729167,0.660000,0.752813,0.196347,0.590717,0.023058,0.314368,1.000000,1.000000,0.000000,1.000000,0.031250,0.500000,1.000000,0.000000,0.000000,88.700000,88.000000,92.100000,87.728866,17.525773,100.000000,88.500000,0.972603,0.430731,0.729167
"cedh","cedh-6","Thrasios, Triton Hero|band=80-95",71.000000,0.943662,"midrange","combo",0.792000,0.535211,0.567164,0.620000,0.657015,0.023474,0.511211,0.005031,0.068882,1.000000,1.000000,0.014925,1.000000,0.059701,0.567164,1.000000,1.000000,0.000000,78.700000,83.000000,92.100000,85.485567,17.525773,100.000000,84.800000,0.985915,0.289940,0.567164
"cedh","cedh-7","Thrasios, Triton Hero|band=80-95",70.000000,0.985714,"control","combo",1.000000,0.547619,0.555556,0.630000,0.639130,0.033333,0.515695,0.001875,0.035437,1.000000,1.000000,0.028986,1.000000,0.028986,0.637681,1.000000,1.000000,0.000000,81.100000,85.000000,90.500000,86.050515,17.525773,100.000000,89.600000,1.000000,0.286497,0.555556
"cedh","cedh-8","Thrasios, Triton Hero|band=80-95",69.000000,0.985507,"midrange","combo",0.594000,0.512077,0.519608,0.710000,0.720441,0.019324,0.509615,0.003840,0.102648,1.000000,1.000000,0.029412,1.000000,0.058824,0.632353,1.000000,1.000000,0.000000,100.000000,90.000000,92.100000,90.216495,17.525773,100.000000,93.200000,1.000000,0.264800,0.519608
"cedh","cedh-9","Thrasios, Triton Hero|band=80-95",71.000000,0.943662,"midrange","combo",0.792000,0.549296,0.582090,0.620000,0.657015,0.023474,0.510917,0.005375,0.068882,1.000000,1.000000,0.014925,1.000000,0.059701,0.567164,1.000000,1.000000,0.000000,78.700000,83.000000,92.100000,85.700000,17.525773,100.000000,84.800000,0.985915,0.297399,0.582090
"cedh","cedh-10","Thrasios, Triton Hero|band=80-95",70.000000,0.957143,"control","combo",1.000000,0.561905,0.587065,0.630000,0.658209,0.033333,0.515284,0.002842,0.043161,1.000000,1.000000,0.029851,1.000000,0.029851,0.611940,1.000000,1.000000,0.000000,81.100000,85.000000,92.100000,86.067010,17.525773,100.000000,88.600000,1.000000,0.302505,0.587065
"cedh","cedh-11","Thrasios, Triton Hero|band=80-95",69.000000,0.985507,"midrange","combo",0.594000,0.512077,0.519608,0.710000,0.720441,0.019324,0.509615,0.003840,0.102648,1.000000,1.000000,0.029412,1.000000,0.058824,0.632353,1.000000,1.000000,0.000000,100.000000,90.000000,92.100000,90.216495,17.525773,100.000000,93.200000,1.000000,0.264800,0.519608
"cedh","cedh-12","Thrasios, Triton Hero|band=80-95",71.000000,0.971831,"spells","combo",0.495000,0.713615,0.734300,0.730000,0.751159,0.173709,0.569288,0.010093,0.290623,1.000000,1.000000,0.000000,1.000000,0.043478,0.608696,1.000000,0.000000,0.000000,100.000000,92.000000,93.500000,92.008247,17.525773,100.000000,90.600000,0.971831,0.418028,0.734300
"cedh","cedh-13","Thrasios, Triton Hero|band=80-95",68.000000,0.882353,"midrange","combo",0.396000,0.519608,0.588889,0.660000,0.748000,0.078431,0.540816,0.005248,0.119629,1.000000,1.000000,0.016667,1.000000,0.050000,0.583333,1.000000,1.000000,0.000000,89.900000,89.000000,94.700000,88.710309,17.525773,100.000000,94.100000,0.985294,0.318481,0.588889
"cedh","cedh-14","Thrasios, Triton Hero|band=80-95",71.000000,0.929577,"midrange","combo",0.396000,0.596244,0.641414,0.700000,0.753030,0.018779,0.508000,0.006434,0.107677,1.000000,1.000000,0.015152,1.000000,0.030303,0.606061,1.000000,1.000000,0.000000,100.000000,89.000000,93.500000,89.482474,17.525773,100.000000,87.500000,0.985915,0.325838,0.641414
"cedh","cedh-15","Thrasios, Triton Hero|band=80-95",71.000000,0.929577,"tokens","combo",0.330000,0.483568,0.520202,0.620000,0.666970,0.070423,0.539267,0.004143,0.131043,1.000000,1.000000,0.030303,1.000000,0.060606,0.606061,1.000000,1.000000,0.000000,78.700000,81.000000,92.100000,83.285567,17.525773,100.000000,76.500000,0.985915,0.280528,0.520202
"cedh","cedh-16","Thrasios, Triton Hero|band=80-95",72.000000,0.958333,"spells","combo",0.495000,0.675926,0.705314,0.680000,0.709565,0.157407,0.565891,0.010446,0.260446,1.000000,1.000000,0.028986,1.000000,0.043478,0.565217,1.000000,0.000000,0.000000,94.800000,80.000000,92.100000,87.641237,17.525773,100.000000,75.500000,0.958333,0.399131,0.705314
"cedh","cedh-17","Thrasios, Triton Hero|band=80-95",70.000000,0.871429,"recursion","combo",1.000000,0.614286,0.704918,0.600000,0.688525,0.042857,0.518072,0.004821,0.039661,1.000000,1.000000,0.016393,1.000000,0.032787,0.622951,1.000000,1.000000,0.000000,73.500000,79.000000,93.500000,82.601031,17.525773,100.000000,80.500000,0.985714,0.365198,0.704918
"cedh","cedh-18","Thrasios, Triton Hero|band=80-95",69.000000,0.985507,"midrange","combo",0.396000,0.599034,0.607843,0.670000,0.679853,0.004831,0.502024,0.005064,0.111550,1.000000,1.000000,0.014706,1.000000,0.029412,0.617647,1.000000,1.000000,0.000000,91.200000,90.000000,93.500000,89.909278,17.525773,100.000000,92.900000,1.000000,0.305152,0.607843
"cedh","cedh-19","Thrasios, Triton Hero|band=80-95",70.000000,0.900000,"midrange","combo",0.792000,0.609524,0.677249,0.640000,0.711111,0.090476,0.540084,0.005481,0.058113,1.000000,1.000000,0.000000,1.000000,0.063492,0.571429,1.000000,1.000000,0.000000,84.800000,88.000000,95.200000,88.600000,17.525773,100.000000,93.500000,1.000000,0.365771,0.677249
"cedh","cedh-20","Thrasios, Triton Hero|band=80-95",72.000000,0.888889,"tokens","combo",0.495000,0.462963,0.520833,0.610000,0.686250,0.046296,0.526316,0.009487,0.101789,1.000000,1.000000,0.000000,1.000000,0.062500,0.609375,1.000000,1.000000,0.000000,76.400000,75.000000,92.100000,80.738144,17.525773,100.000000,68.600000,1.000000,0.274123,0.520833
"cedh","cedh-21","Thrasios, Triton Hero|band=80-95",71.000000,0.957746,"midrange","combo",0.396000,0.530516,0.553922,0.690000,0.720441,0.028169,0.513636,0.004101,0.106270,1.000000,1.000000,0.000000,1.000000,0.029412,0.529412,1.000000,1.000000,0.000000,97.400000,90.000000,90.500000,90.228866,17.525773,100.000000,94.600000,1.000000,0.284514,0.553922
"cedh","cedh-22","Thrasios, Triton Hero|band=80-95",71.000000,0.957746,"recursion","combo",0.990000,0.624413,0.651961,0.690000,0.720441,0.046948,0.519531,0.010504,0.086238,1.000000,1.000000,0.029412,1.000000,0.029412,0.588235,1.000000,1.000000,0.000000,97.400000,89.000000,93.500000,89.191753,17.525773,100.000000,88.300000,0.985915,0.338714,0.651961
"cedh","cedh-23","Thrasios, Triton Hero|band=80-95",70.000000,0.957143,"midrange","combo",0.594000,0.576190,0.601990,0.710000,0.741791,0.061905,0.528384,0.003247,0.082331,1.000000,1.000000,0.014925,1.000000,0.044776,0.626866,1.000000,1.000000,0.000000,100.000000,91.000000,93.500000,91.193814,17.525773,100.000000,93.500000,1.000000,0.318082,0.601990
"cedh","cedh-24","Thrasios, Triton Hero|band=80-95",68.000000,0.897059,"midrange","combo",0.396000,0.534314,0.595628,0.680000,0.758033,0.088235,0.545000,0.004383,0.119629,1.000000,1.000000,0.016393,1.000000,0.049180,0.590164,1.000000,1.000000,0.000000,93.800000,90.000000,94.700000,89.793814,17.525773,100.000000,94.500000,0.985294,0.324617,0.595628
"cedh","cedh-25","Thrasios, Triton Hero|band=80-95",71.000000,0.957746,"midrange","combo",0.594000,0.568075,0.593137,0.700000,0.730882,0.032864,0.514894,0.004336,0.077209,1.000000,1.000000,0.000000,1.000000,0.044118,0.588235,1.000000,1.000000,0.000000,100.000000,90.000000,92.100000,89.729897,17.525773,100.000000,89.600000,1.000000,0.305403,0.593137
"cedh","cedh-26","Thrasios, Triton Hero|band=80-95",70.000000,0.957143,"control","combo",1.000000,0.561905,0.587065,0.630000,0.658209,0.033333,0.515284,0.002842,0.043161,1.000000,1.000000,0.029851,1.000000,0.029851,0.611940,1.000000,1.000000,0.000000,81.100000,85.000000,92.100000,86.067010,17.525773,100.000000,88.600000,1.000000,0.302505,0.587065
"cedh","cedh-27","Thrasios, Triton Hero|band=80-95",71.000000,0.943662,"midrange","combo",0.594000,0.586854,0.621891,0.680000,0.720597,0.075117,0.534188,0.005668,0.081626,1.000000,1.000000,0.014925,1.000000,0.029851,0.626866,1.000000,1.000000,0.000000,93.600000,90.000000,92.100000,90.202062,17.525773,100.000000,94.100000,0.971831,0.332206,0.621891
"cedh","cedh-28","Thrasios, Triton Hero|band=80-95",71.000000,0.985915,"midrange","combo",0.792000,0.539906,0.547619,0.660000,0.669429,0.032864,0.515695,0.004841,0.078461,1.000000,1.000000,0.014286,1.000000,0.057143,0.657143,1.000000,1.000000,0.000000,89.900000,87.000000,92.100000,87.650515,17.525773,100.000000,83.900000,1.000000,0.282404,0.547619
"cedh","cedh-29","Thrasios, Triton Hero|band=80-95",72.000000,0.972222,"midrange","combo",0.792000,0.532407,0.547619,0.640000,0.658286,0.032407,0.515695,0.005732,0.068421,1.000000,1.000000,0.028571,1.000000,0.028571,0.628571,1.000000,1.000000,0.000000,83.800000,81.000000,90.500000,84.668041,17.525773,100.000000,76.800000,1.000000,0.282404,0.547619
